case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
6,30,20,2,3464.4151229999247,730.9011299978392,6928.8302459998495,7.18001412599466
6,31,20,2,9908.541337242033,1966.7874823975371,19817.082674484067,15.136961827275911
6,32,20,2,2732.998329264452,492.08396784633686,5465.996658528904,2.5971062851455713
6,33,20,2,6929.043794287389,1411.0845306915835,13858.087588574777,9.043691719748992
6,34,20,2,1721.5468399943973,300.78642034433125,3443.0936799887945,0.8575962144497139
6,35,20,2,921.8480436085634,193.26023523049275,1843.696087217127,1.3324509498122055
6,36,20,2,3621.624907598852,682.1089818664299,7243.249815197704,4.323609638068547
6,37,20,2,4709.45877024214,914.5197281008395,9418.91754048428,7.40070125904127
6,38,20,2,1034.2003792250464,243.09185721489766,2068.400758450093,0.5302138424317206
6,39,20,2,1193.6127139566195,227.99026693942193,2387.225427913239,2.3061384938320657
6,40,20,2,892.0678069841682,177.32389070466985,1784.1356139683364,1.6032711233194163
7,1,8,3,8214.132002920382,687.5789287788789,24642.396008761145,0.0
7,2,8,3,8218.342186608128,703.1560716359377,24655.026559824386,0.0
7,3,8,3,236754.06826735343,19197.159117302082,710262.2048020603,0.0
7,4,8,3,85411.81322325899,6738.386774856112,256235.43966977694,0.0
7,5,8,3,219761.00729389067,17479.61472717042,659283.021881672,0.0
7,6,8,3,17621.1731105616,1424.3402554379666,52863.5193316848,0.0
7,7,8,3,48711.39767462889,3970.323513606785,146134.19302388668,0.0
7,8,8,3,45484.09763900923,3760.582708289986,136452.2929170277,0.0
7,9,8,3,22602.91978783355,1845.1425452384617,67808.75936350065,0.0
7,10,8,3,979.7822077446378,88.2062850426256,2939.3466232339133,0.0
7,11,8,3,33542.989874571926,2649.8030413224046,100628.96962371578,0.0
7,12,8,3,140224.75972795434,11434.441219335831,420674.279183863,0.0
7,13,8,3,12454.000979259083,1093.731078223802,37362.002937777244,0.0
7,14,8,3,2256.296327661638,161.73801535891573,6768.888982984914,0.0
7,15,8,3,68427.71608301265,5367.542390363792,205283.14824903797,0.0
7,16,8,3,46104.03281166249,3723.3034140145182,138312.09843498748,0.0
7,17,8,3,71984.03634690911,5913.357573940676,215952.10904072732,0.0
7,18,8,3,111387.05705924997,8891.105830400003,334161.17117774993,0.0
7,19,8,3,202725.711623551,15941.4764363374,608177.134870653,0.0
7,20,8,3,13384.154782018955,985.0271845075606,40152.46434605686,0.0
7,21,8,3,100259.1296108718,8155.328395373503,300777.3888326154,0.0
7,22,8,3,60288.74870488546,4819.333139861531,180866.2461146564,0.0
7,23,8,3,21898.20223855138,1717.5672503792507,65694.60671565414,0.0
7,24,8,3,47500.323514098636,3799.161104469047,142500.9705422959,0.0
7,25,8,3,17997.957664877464,1448.1182187296938,53993.87299463239,0.0
7,26,8,3,32376.86659059702,2680.7589285379304,97130.59977179105,0.0
7,27,8,3,186396.45481948348,14853.960704549068,559189.3644584505,0.0
7,28,8,3,112731.14233561444,8982.879016335783,338193.4270068433,0.0
7,29,8,3,345803.5276749684,27779.243163943982,1.0374105830249053e6,0.0
7,30,8,3,6791.537730330828,523.0739534103141,20374.613190992484,0.0
7,31,8,3,459014.7454136672,36901.6386616243,1.3770442362410016e6,0.0
7,32,8,3,42980.79608659045,3427.172322727164,128942.38825977137,0.0
7,33,8,3,78553.9464487239,6425.816241032319,235661.8393461717,0.0
7,34,8,3,306998.25232647214,24419.89485502219,920994.7569794164,0.0
7,35,8,3,49933.05974087705,4201.755869152602,149799.17922263115,0.0
7,36,8,3,264687.0201944207,21423.297015310072,794061.0605832621,0.0
7,37,8,3,67966.86745987779,5237.392455581376,203900.60237963335,0.0
7,38,8,3,67553.88298333206,5228.531480886667,202661.6489499962,0.0
7,39,8,3,255069.1689958938,20406.20692065173,765207.5069876814,0.0
7,40,8,3,41467.87727247714,3180.137629853045,124403.63181743142,0.0
8,1,12,3,14440.83475088521,1754.4920534186724,43322.50425265563,0.0
8,2,12,3,17201.620287026904,2126.34895073362,51604.86086108071,0.0
8,3,12,3,113519.20034660005,13281.251699131763,340557.60103980015,0.0
8,4,12,3,6898.563650100583,779.9799341276248,20695.69095030175,0.0
8,5,12,3,2698.216337687238,281.22197857955945,8094.649013061715,0.0
8,6,12,3,38928.11498985752,4470.000967918268,116784.34496957256,0.0
8,7,12,3,18181.458230669123,2179.3172679204854,54544.37469200737,0.0
8,8,12,3,16689.09385158582,1976.9357947641051,50067.281554757465,0.0
8,9,12,3,8176.181995350893,977.4398161508524,24528.54598605268,0.0
8,10,12,3,448.5163207334234,60.331719844738274,1345.5489622002701,0.0
8,11,12,3,14014.287221314873,1759.4398023179758,42042.86166394462,0.0
8,12,12,3,24806.42663136625,3157.2903491118277,74419.27989409874,0.0
8,13,12,3,72484.98997579484,8613.944926057457,217454.96992738452,0.0
8,14,12,3,10434.115832987318,1257.9304885649592,31302.347498961954,0.0
8,15,12,3,12957.728605847657,1585.9147387172618,38873.185817542966,0.0
8,16,12,3,5917.418175041856,682.9702366480935,17752.254525125565,0.0
8,17,12,3,34486.99149091031,4158.418096218881,103460.97447273093,0.0
8,18,12,3,2046.8181018438452,237.02337147221712,6140.454305531535,0.0
8,19,12,3,53468.488624975005,6154.5519397140915,160405.46587492502,0.0
8,20,12,3,62818.50721230686,7633.355698397298,188455.52163692057,0.0
8,21,12,3,16912.064101483917,2054.9274624293444,50736.192304451746,0.0
8,22,12,3,35636.42150509749,4256.223510537014,106909.26451529247,0.0
8,23,12,3,80744.31035904962,9872.331296973702,242232.93107714885,0.0
8,24,12,3,17583.27951069188,2074.8963435291107,52749.838532075635,0.0
8,25,12,3,31977.75952359292,3840.2622485682873,95933.27857077876,0.0
8,26,12,3,2538.7627897462685,290.11766459484676,7616.288369238806,0.0
8,27,12,3,91519.90311345313,10702.821721237498,274559.7093403594,0.0
8,28,12,3,6624.599865965807,778.310259149924,19873.79959789742,0.0
8,29,12,3,13444.39855940103,1604.5541281274968,40333.19567820309,0.0
8,30,12,3,4031.469017633613,445.65325007616514,12094.407052900839,0.0
8,31,12,3,33611.239237642316,3930.990111353692,100833.71771292694,0.0
8,32,12,3,935.6359349939285,106.78688442780553,2806.9078049817854,0.0
8,33,12,3,16519.664466864644,1955.4241052678303,49558.99340059393,0.0
8,34,12,3,353.27927975956885,54.25857565663669,1059.8378392787065,0.0
8,35,12,3,975.8481431066352,93.85771158713804,2927.5444293199057,0.0
8,36,12,3,57095.94425397537,6912.060542497265,171287.8327619261,0.0
8,37,12,3,64534.658516576776,7839.430829137281,193603.97554973033,0.0
